gbaitgncqh,0,5,6893,7,null,single
xiqtbidrpz,8,7,5983,2,null,single
dulxttuirg,2,5,267,5,null,single
ftlxrxlcsb,3,5,2969,9,null,single
yxdlotnqmx,4,4,7279,9,null,single
xqveyskmck,2,7,6880,2,null,single
lnyrwvmhyi,5,0,4921,1,null,single
nqsmgfuscd,0,5,4749,7,null,single
jtxmxygtqd,2,9,2912,5,null,single
gyjxyezllm,1,4,7332,9,null,single
rsjoenlxdj,3,6,280,2,null,single
wittpqrxsl,8,6,3918,3,null,single
sfzvmcxmda,5,8,4203,0,null,single
zzzospmkeq,7,9,2080,9,null,single
avliaeuuky,2,2,9193,6,null,single
